lemma,lemma_freq,lemma_len,n_forms
'admiral,1584602.0,8,1
'admiral',480886.0,9,1
'ah,3009816.0,3,1
'based,4848367.0,6,1
'broken',9395520.0,8,1
'budge,79763.0,6,1
'but,139866870.0,4,1
'come,5454157.0,5,1
'confessions',450811.0,13,1
'do,33048543.0,3,1
'don't,1112.0,6,1
'except,2137696.0,7,1
'extraordinary,251365.0,14,1
'flying,4200420.0,7,1
'fog',1361343.0,5,1
'for,120135284.0,4,1
'general,24695243.0,8,1
'general',24695243.0,9,1
'good,9793632.0,5,1
'grandmother',419177.0,13,1
'haven't,1246.0,8,1
'he'll,808987.0,6,1
'he's,6196810.0,5,1
'hoover',5310.0,8,1
'how,42231777.0,4,1
'i,926120510.0,2,1
'i'm,39638273.0,4,1
'i've,15923265.0,5,1
'it's,26468411.0,5,1
'just,14423523.0,5,1
'mogul',92922.0,7,1
'no,46414615.0,3,1
'no',46414615.0,4,1
'nothing,5618217.0,8,1
'o,14670016.0,2,1
'on,57934134.0,3,1
'or,11581604.0,3,1
'scratch',118245.0,9,1
'she,118491481.0,4,1
'small,4516827.0,6,1
'someone,2123510.0,8,1
'that,61071875.0,5,1
'the,1217211729.0,4,1
'then,39430787.0,5,1
'this,229531441.0,5,1
'to,69417655.0,3,1
'tulip,129215.0,6,1
'was,6124510.0,4,1
'what,87561320.0,5,1
'what's,5041842.0,7,1
'where's,698948.0,8,1
'why,23831262.0,4,1
'with,35965854.0,5,1
'witnesses',3142323.0,11,1
'yes,19605775.0,4,1
'yes',19605775.0,5,1
'you,108628627.0,4,1
'you've,2574939.0,7,1
a,4353573969.0,1,2
abby,596695.0,4,1
abby's,49601.0,6,1
able,42495598.0,4,1
about,265782619.0,5,1
above,47783304.0,5,1
absolute,8009591.0,8,1
abusive,930149.0,7,1
accident,1947982.0,8,1
accompany,6335492.0,9,1
accord,20630866.5,6,2
account,40876327.0,7,2
accounting,1871888.0,10,1
accumulated,2139868.0,11,1
accusingly,56235.0,10,1
ace,369113.0,3,1
achieve,11214067.0,7,1
achievement,7377285.0,11,2
acquiesce,193970.0,9,1
acre,2916394.0,4,1
across,33682916.0,6,1
act,23543949.0,3,1
activity,28737684.0,8,1
actual,16047083.0,6,1
actually,22550287.0,8,1
add,35134992.0,3,2
addition,27829047.0,8,1
additional,17480447.0,10,1
additionally,1970176.0,12,1
admirals',36839.0,9,1
admit,5728725.0,5,1
adulthood,1240638.0,9,1
advance,8091306.0,7,1
affect,11155698.0,6,1
afford,271571.0,6,1
afraid,7681021.0,6,1
after,131123106.0,5,1
again,64543110.0,5,1
against,79033828.0,7,1
age,12288870.0,3,2
ago,15950013.0,3,1
agree,9151314.0,5,1
agustin,95773.0,7,1
aim,4404246.0,3,1
air,31277584.0,3,1
alien,3739705.0,5,2
alive,6843173.0,5,1
all,374139462.0,3,1
allege,3370226.0,6,1
allergy,411233.0,7,1
allow,17955384.0,5,1
almost,40784201.0,6,1
alone,24587884.0,5,1
along,41977332.0,5,1
already,40871799.0,7,1
also,248861077.0,4,1
although,34293908.0,8,1
